_RAJ2000	_DEJ2000	GCVS	magMax	l_magMin	magMin	magCode	Period	SpType	HIP
 36.5652995545	+81.6801642343	Z     Cep	10.10	 	15.7	V	279.16	M2e-M8.2         	
 40.8152557712	+81.1395572564	RR    Cep	 9.00	 	15.5	V	384.18	M5e-M8.8e        	
  3.2937206081	+73.8631608029	RV    Cep	11.50	 	16.0	P	272.45	M2e-M7           	
350.3105052350	+78.9588500346	RY    Cep	 8.60	 	13.6	V	149.06	Ke-M0e           	
347.0526388075	+70.6058396566	UZ    Cep	11.30	<	15.0	P	303.50	M4-M5            	
332.8236494907	+55.3084833864	AB    Cep	12.00	 	15.5	P	324.50	M8e              	
342.3414052279	+58.5511239102	AL    Cep	10.90	 	14.5	P	277.30	M5-M6.5e         	
330.1623333428	+82.3869068821	AY    Cep	11.00	<	14.5	V	281.00	                 	
307.8977778839	+62.9844182756	BF    Cep	10.00	<	14.5	V	430.14	M7               	
320.0121688090	+77.8727623230	GH    Cep	12.50	 	15.5	P	331.00	M3               	
 36.5096590021	-00.1782784937	R     Cet	 7.20	 	14.0	V	166.24	M4e-M9           	 11350
  6.0148453101	-09.3279433217	S     Cet	 7.60	 	14.7	V	320.45	M3e-M6.5e:       	
 38.4319733949	-13.1484670461	U     Cet	 6.80	 	13.4	V	234.76	M2e-M6e          	 11910
359.4755232564	-08.9591893349	V     Cet	 8.60	 	14.8	V	257.82	M3e              	
  0.5308032482	-14.6758494883	W     Cet	 7.10	 	14.8	V	351.31	S6,3e-S9,2e      	
 49.8586153698	-01.0656078632	X     Cet	 8.40	 	13.0	V	177.14	M2e(S)-M6e       	 15465
 16.6880228864	-01.4814174687	Z     Cet	 8.40	 	14.2	V	184.81	M1e-M6.5e        	
 34.0003431858	-20.5195920731	RY    Cet	10.50	<	13.5	P	374.00	M5e-M7           	
 34.8366188376	-02.9775233035	omi   Cet	 2.00	 	10.1	V	331.96	M5e-M9e          	 10826
125.4437298608	-76.3550864236	R     Cha	 7.50	 	14.2	V	334.58	M4e-M7e          	
207.2457636984	-82.6974326015	U     Cha	11.00	<	13.5	P	341.30	                 	
215.2172363323	-67.5155654168	UZ    Cir	11.10	 	15.8	P	538.00	                 	
 87.6360124937	-29.2410860149	R     Col	 7.80	 	15.0	V	327.62	M3e-M7           	
 86.7346193018	-31.6912175006	S     Col	 8.90	 	14.2	V	325.85	M6e-M8           	 27286
 79.8222195968	-33.7080809172	T     Col	 6.60	 	12.7	V	225.84	M3e-M6e          	 24824
181.0633077501	+18.7824248374	R     Com	 7.10	 	14.6	V	362.82	M5e-M8ep         	 58854
194.6653418250	+23.1399058000	T     Com	11.50	 	15.6	B	406.00	M2:-M8-9eIII     	
280.2792416373	-37.8363951215	U     CrA	 9.90	 	14.3	P	147.50	M2Ibe            	
271.4525554330	-38.2660759769	RR    CrA	 9.80	<	14.0	P	280.10	M2e-M7II-IIIe    	
275.5430055308	-44.8670631468	RY    CrA	12.10	<	14.0	P	195.00	M4e              	
287.1360797021	-42.3795811804	RZ    CrA	 9.90	<	13.5	P	460.00	M6e              	
272.9697002686	-42.5552758531	TW    CrA	13.00	 	17.0	P	185.90	                 	
284.3750639550	-37.8015509500	UX    CrA	10.90	<	17.0	P	347.50	M(6:)e           	
283.2670793699	-38.0841605511	UZ    CrA	12.00	<	16.0	P	107.00	                 	
280.2353141415	-37.0755462339	YY    CrA	10.80	 	16.5	P	125.88	M3Ibe            	
273.6235752138	-38.5508246667	V0358 CrA	14.20	<	16.5	P	208.00	                 	
282.9068098420	-38.1271382582	V0384 CrA	10.30	 	15.0	P	203.00	Me               	
283.1313619844	-37.3469058228	V0390 CrA	11.30	 	15.0	P	179.00	                 	
270.8413563792	-41.9034364260	V0473 CrA	12.20	 	15.5	P	134.00	Me               	
279.2791819327	-44.1960652997	V0638 CrA	12.20	<	15.5	P	317.00	                 	
286.0094208750	-41.2873119900	V0650 CrA	12.80	 	15.5	P	332.00	                 	
230.3498134996	+31.3673792726	S     CrB	 5.80	 	14.1	V	360.26	M6e-M8e          	 75143
237.3804656636	+39.5716367410	V     CrB	 6.90	 	12.6	V	357.63	C6,2e(N2e)       	 77501
243.8522950768	+37.7956181029	W     CrB	 7.80	 	14.3	V	238.40	M2e-M5e          	
237.2230278699	+36.2479434056	X     CrB	 8.50	 	14.2	V	241.17	M5e-M7e          	 77460
238.9887245719	+29.2410101332	Z     CrB	 8.80	 	15.5	V	250.68	M4e-M5e          	
184.9078053425	-19.2560716171	R     Crv	 6.70	 	14.4	V	317.03	M4.5e-M9:e       	 60106
189.2740774650	-17.5186161300	T     Crv	11.60	<	16.6	P	401.34	M6e              	
188.7584757455	-18.4608877371	U     Crv	10.10	<	15.0	P	283.42	M5e              	
190.0773815911	-17.6159487073	V     Crv	11.70	<	15.5	P	193.63	M2e              	
179.9434408200	-13.2484079400	ST    Crv	11.70	<	15.0	P	224.60	                 	
185.3577580009	-21.9549351632	SU    Crv	12.20	 	16.0	P	351.50	Me               	
170.0915140393	-24.8757117883	Y     Crt	10.20	<	15.0	P	158.36	M3e-M5e          	
165.4797525474	-07.6615952974	RT    Crt	10.80	 	14.0	P	342.70	M8               	 53915
194.1481742061	-57.8991738112	V     Cru	10.40	 	13.9	B	376.50	Ce(Ne)           	 63175
184.0699616856	-56.2860071290	BH    Cru	 7.20	 	10.0	V	421.00	SC4.5/8-e-SC7/8-e	 59844
294.2056773876	+50.1999326493	R     Cyg	 6.10	 	14.4	V	426.45	S2.5,9e-S6,9e(Tc)	
301.3757725708	+57.9981859157	S     Cyg	 9.30	 	16.0	V	322.93	S2.5,1e(M3.5-M7e)	
304.9025048137	+47.8941909190	U     Cyg	 5.90	 	12.1	V	463.24	C7,2e-C9,2(Npe)  	100219
310.3261277984	+48.1413429849	V     Cyg	 7.70	 	13.9	V	421.27	C5,3e-C7,4e(Npe) 	102082
300.3646280563	+50.0423971310	Z     Cyg	 7.10	 	14.7	V	263.69	M5e-M9e          	
295.9073689409	+48.7781471894	RT    Cyg	 6.00	 	13.1	V	190.28	M2e-M8.8eIb      	 97068
308.1394593864	+54.9501146978	ST    Cyg	 9.40	 	14.5	V	337.29	M5.5e-M8.0e      	
303.9231354990	+31.0659969074	SX    Cyg	 8.20	 	15.2	V	411.02	M7e              	
296.5754266802	+49.1011105117	TU    Cyg	 8.70	 	15.5	V	219.44	M3e-M6e          	
316.4976713795	+29.4068193257	TW    Cyg	 8.90	 	15.0	V	340.86	M6.5-M10ep       	
293.4477755947	+28.3496163958	TY    Cyg	 9.00	 	15.0	V	349.00	M6e-M8e          	
313.7729843612	+30.4144592083	UX    Cyg	 9.00	 	16.5	V	565.00	M4e-M6.5e        	
304.6386456308	+37.4497354244	WX    Cyg	 8.80	 	13.2	V	410.45	C8,2JLi(N3e)     	100113
327.1757561401	+44.2495198958	WY    Cyg	 9.50	 	17.0	P	304.54	M5e-M6e          	
298.3632869469	+37.0382840615	AG    Cyg	11.20	 	17.0	V	296.30	M6-M8.2          	
312.2535357725	+31.8488271357	AM    Cyg	11.30	 	14.5	P	370.60	M6e              	102732
314.3593672958	+33.1968448829	AT    Cyg	11.20	<	15.0	P	264.10	M5e              	
319.5762052450	+28.6677238983	BB    Cyg	11.00	<	14.2	P	259.71	                 	
294.7405862429	+28.5129488660	BG    Cyg	 9.00	 	12.8	V	288.00	M7e-M8e          	 96647
322.7397692100	+46.4935704000	BL    Cyg	12.90	 	17.0	P	352.46	M6.5             	
326.1222135893	+46.4811978706	BN    Cyg	11.80	 	17.5	P	174.30	M4e              	
297.9163604877	+53.6354420832	BS    Cyg	11.00	<	16.0	P	426.70	C6-7,-e(Nep)     	
300.0501193595	+50.6841986492	BT    Cyg	12.00	<	16.0	P	272.50	                 	
301.4128127815	+50.3329022592	BU    Cyg	10.20	 	14.5	V	157.87	M0               	
304.4735250886	+59.7926765087	CN    Cyg	 7.30	 	15.0	V	198.53	M2-M7e(S)        	100048
317.0248786415	+32.2298461736	CT    Cyg	10.50	<	13.3	V	282.28	M7               	
298.1029020967	+55.3603606806	CU    Cyg	 9.50	 	14.1	V	213.60	M6e              	
318.0559163427	+28.8127038739	CZ    Cyg	10.00	<	13.3	V	278.00	                 	
292.8808681352	+34.7049512292	DD    Cyg	10.50	<	13.0	P	147.60	M0e              	 96031
310.9592066834	+38.1632071376	DR    Cyg	 9.30	<	15.5	P	313.88	M5e              	
318.1789237344	+36.7382948207	DU    Cyg	 9.80	 	14.2	V	108.21	M4               	
290.4260625133	+29.7574663149	DV    Cyg	12.40	 	16.0	P	149.50	                 	
294.1993135203	+28.1497753832	EH    Cyg	11.80	 	16.5	P	280.70	M4ea:-M8         	
296.3673487903	+31.4749809965	EQ    Cyg	13.80	<	18.0	P	349.10	M3-M8            	
309.7154009103	+37.8897909097	FF    Cyg	 8.20	 	14.2	V	323.82	S6,8e(M4e)       	
292.5252616837	+29.9507003068	FM    Cyg	12.20	<	17.2	P	269.70	M7-M9            	
293.1643265593	+33.1866414801	FP    Cyg	14.00	<	17.0	P	211.50	                 	
293.4224516427	+40.5243895069	HP    Cyg	13.00	 	17.4	P	250.00	                 	
295.1872554372	+36.1051491875	HZ    Cyg	13.00	<	15.5	P	180.00	                 	
300.0582359697	+36.0893266329	KM    Cyg	11.40	 	19.0	P	334.70	M4               	
306.8120700510	+41.0707369296	KZ    Cyg	11.20	 	17.2	P	405.95	M8e              	
309.9420284260	+35.8499876561	LL    Cyg	13.90	<	15.5	P	211.00	                 	
326.5833812255	+48.1196188819	LP    Cyg	12.60	<	17.3	P	419.00	M8               	
295.4779525233	+54.6763618378	V0369 Cyg	 9.80	 	14.9	V	104.76	M4e              	
315.8814454675	+29.9264973308	V0378 Cyg	13.00	<	15.5	P	295.60	                 	
301.5227583058	+48.5765734260	V0394 Cyg	11.50	<	14.7	P	422.00	                 	
300.6895552265	+38.5564330647	V0419 Cyg	13.00	<	16.5	P	226.40	M5               	
298.9078200481	+32.7680482882	V0468 Cyg	12.60	<	16.8	P	485.80	M7               	
315.5011160353	+35.3023216946	V0523 Cyg	11.40	 	17.0	P	373.40	M7e              	
289.7036602960	+48.4421410278	V0540 Cyg	12.40	<	14.8	P	361.00	M5e              	
298.3830982865	+56.6253481553	V0544 Cyg	12.40	<	17.5	P	273.30	                 	
307.8141335217	+54.8625766458	V0564 Cyg	15.00	<	17.5	P	264.40	                 	
295.2958342456	+36.7102120624	V0942 Cyg	13.30	<	17.6	P	442.00	M9               	
297.0595395252	+32.3285285115	V0987 Cyg	14.80	<	17.5	P	403.50	                 	
316.5122667988	+46.2862137247	V1225 Cyg	11.90	<	17.5	B	379.50	M:e              	
323.5099802890	+39.0956191701	V1426 Cyg	10.80	 	13.7	V	470.00	C7,2e(N)         	
324.6220595904	+45.7508662535	V1568 Cyg	11.20	 	14.4	V	495.00	C(N)             	
297.6413440182	+32.9140552010	khi   Cyg	 3.30	 	14.2	V	408.05	S6,2e-S10,4e(MSe)	 97629
303.7297394120	+09.0891669746	R     Del	 7.60	 	13.8	V	285.07	M5e-M6e          	 99802
310.7703525008	+17.0881567340	S     Del	 8.30	 	12.4	V	277.75	M5e-M8           	102246
311.3857437927	+16.4013191481	T     Del	 8.50	 	15.2	V	332.02	M3e-M6e          	
311.9376265396	+19.3340147774	V     Del	 8.10	 	16.1	V	533.51	M4e-M6e          	
313.7255997053	+17.6416662465	X     Del	 8.20	 	14.8	V	281.04	M4e-M6e          	
310.4370969093	+11.8281384593	Y     Del	 8.80	 	16.5	V	468.40	M8e              	
308.1625611496	+17.4511323299	Z     Del	 8.30	 	15.3	V	304.48	S5,2.5e-S7,2e:   	
304.3635331013	+10.1687795521	RU    Del	 9.90	<	14.0	V	260.58	M3               	
306.6164554420	+12.6839156206	RW    Del	11.00	 	16.0	P	237.40	M3-M8            	
307.5450097374	+12.7452045325	RX    Del	 9.70	 	16.0	P	185.63	M2e              	
307.5148478254	+10.2643006585	RY    Del	11.80	<	16.0	P	248.26	                 	
315.0660248935	+13.5734524350	SW    Del	11.10	<	14.0	P	289.40	M7e              	
310.1776295652	+18.9495386169	SZ    Del	11.00	<	16.0	P	235.92	M3e              	
306.6693401550	+12.5023003500	TV    Del	12.70	<	16.0	P	217.00	                 	
308.5508585377	+18.5339038865	AG    Del	10.70	<	15.5	P	239.73	M4               	
313.3129344069	+15.7265178567	BB    Del	11.30	 	15.3	P	245.20	                 	
305.3567355772	+09.5345066585	BD    Del	13.00	<	15.5	P	262.00	M2IIIe           	
311.6747384620	+04.3971603772	BR    Del	10.00	<	12.5	P	336.55	M8e              	
309.8292123032	+19.6937251447	EP    Del	12.00	 	15.5	P	430.50	                 	
309.3893331553	+20.3181044987	FX    Del	12.50	<	15.5	P	331.50	                 	
 71.4568204985	-59.7869145912	T     Dor	10.50	<	14.0	P	168.00	M5IIe            	
 77.5368568136	-64.3178515676	U     Dor	 8.10	 	14.6	P	394.40	M8IIIe           	 24055
 71.8750886587	-55.6849157614	SU    Dor	 8.50	<	14.0	V	235.86	                 	 22256
248.1676079475	+66.7549835177	R     Dra	 6.70	 	13.2	V	245.60	M5e-M9eIII       	 81014
269.0970649745	+58.2183661726	T     Dra	 7.20	 	13.5	V	421.62	C6,2e-C8,3e(N0e) 	 87820
287.4457572566	+67.2967694211	U     Dra	 9.10	 	14.6	V	316.13	M6e-M8           	
269.6100052703	+54.8235388993	V     Dra	 9.50	 	14.7	V	278.33	M4e              	
271.3953534114	+65.9550954583	W     Dra	 8.90	 	15.4	V	278.60	M3e-M4e          	
271.7175976953	+66.1553341215	X     Dra	 8.90	 	15.8	V	257.33	M5e:             	
145.5947285263	+77.8520145530	Y     Dra	 6.24	 	15.0	V	325.79	M5e              	
274.8575737156	+72.6804417036	RT    Dra	 9.60	 	13.8	V	279.41	M5               	
274.8368617941	+59.5396881562	RU    Dra	 9.40	<	13.6	V	297.10	M5e              	
189.4410121476	+65.5560652326	RV    Dra	 8.40	 	14.2	V	208.14	M1e-M3e          	
278.4104918738	+49.3708760382	SV    Dra	 9.10	 	15.0	V	256.24	M7e              	
263.5349586012	+53.9762836354	SY    Dra	10.50	<	14.0	V	391.38	M7e              	
282.8656481157	+48.9326940499	TU    Dra	10.00	<	13.3	V	344.79	M4e              	
285.9968426427	+49.2778948958	XX    Dra	13.00	<	14.2	P	342.12	                 	
290.9880185109	+71.7315139894	YZ    Dra	 8.30	<	14.5	V	347.60	M8e              	
276.9189524686	+49.3092573329	AL    Dra	11.00	 	13.8	P	330.30	M7ea             	 90474
275.5037094745	+69.8361398090	AP    Dra	11.60	<	13.0	P	582.00	                 	
297.8860361959	+67.0623899757	BO    Dra	12.70	<	14.5	P	274.50	                 	
154.4616549302	+73.4204184410	DH    Dra	11.30	 	14.5	V	550.00	N                	
318.2989381524	+12.8239101564	R     Equ	 8.70	 	15.0	V	260.76	M3e-M4e          	
317.2613008547	+09.3727768832	Z     Equ	11.80	 	16.0	P	211.60	M2IIIe           	
317.4640114139	+06.1031551875	RR    Equ	10.80	 	15.7	P	271.30	                 	
 58.8079225576	-24.0323831264	T     Eri	 7.20	 	13.2	V	252.29	M3e-M5e          	 18336
 57.6214214043	-24.9563581237	U     Eri	 8.50	 	14.9	V	274.91	M4e              	
 62.8792710219	-25.1339716760	W     Eri	 7.50	 	14.5	V	376.63	M7e-M9           	 19567
 31.3924473421	-57.1441634177	Y     Eri	10.70	 	13.5	P	302.70	M7e              	  9767
 64.4807006115	-18.5070580604	RS    Eri	 9.20	<	12.8	P	296.00	M7e              	 20045
 53.5519947702	-16.1640727129	RT    Eri	 8.50	 	12.9	P	370.80	M7e              	 16647
 58.2301589325	-09.1686363194	SW    Eri	 9.80	<	14.1	V	400.69	                 	
 73.7916164883	-06.9624043460	SX    Eri	 9.30	<	13.6	V	282.80	                 	
 47.8232985171	-23.6949602710	TW    Eri	11.00	 	15.2	P	322.20	M7               	
 37.3137818129	-26.0987978792	R     For	 7.50	 	13.0	V	388.73	C4,3e(Ne)        	 11582
 56.1119630003	-25.2017004628	U     For	 9.80	<	15.0	V	318.50	                 	
106.8386420102	+22.7035333074	R     Gem	 6.00	 	14.0	V	369.91	S2,9e-S8,9e(Tc)  	 34356
115.7606486315	+23.4495030739	S     Gem	 8.00	 	14.7	V	293.23	M4e-M8e          	
117.3255288888	+23.7343819264	T     Gem	 8.00	 	15.0	V	287.79	S1.5,5e-S9,5e    	
110.7889556558	+13.1013411700	V     Gem	 7.80	 	14.9	V	274.80	M4(S)e-M8        	 35812
101.7793779147	+30.2761949181	X     Gem	 7.50	 	13.8	V	264.16	M5e-M8e(Tc:)     	 32512
101.6464068027	+18.5684241607	RT    Gem	11.00	<	16.0	P	350.40	C:               	
114.7981802742	+34.4834359400	ST    Gem	11.00	 	15.5	P	246.23	M5e-M9e          	
108.2040474203	+14.6010041122	VX    Gem	10.80	<	15.1	P	379.40	C7,2e-C9,1e(Nep) 	 34859
109.1758548564	+26.0457776933	WZ    Gem	 9.00	 	15.0	V	330.80	M3e              	
119.2945288114	+21.4063093332	XY    Gem	11.20	 	15.3	P	340.97	M8:              	
 95.9814624842	+25.0133925600	ZZ    Gem	12.40	 	16.0	P	317.00	C5,3e(Ne)        	
119.2053473513	+31.1246369792	AO    Gem	13.00	<	16.2	P	313.00	                 	
106.1854431560	+09.9307315578	BC    Gem	11.70	 	15.5	P	229.70	M2               	
 99.1491422333	+26.8725426607	BR    Gem	12.60	<	16.2	P	155.80	                 	
 96.2966471643	+24.9221167558	CD    Gem	12.80	<	16.8	P	300.00	                 	
 96.5152269354	+16.7769590797	CE    Gem	14.40	<	17.0	P	299.00	                 	
 90.3958796849	+23.8318659097	DO    Gem	14.80	<	16.9	P	213.00	M5               	
327.1079896815	-46.9089245751	R     Gru	 7.40	 	14.9	V	331.96	M5e-M7II-IIIe    	
336.5228121324	-48.4385431505	S     Gru	 6.00	 	15.0	V	401.51	M5e-M8IIIe       	110736
336.4205257170	-37.5692171982	T     Gru	 7.80	 	12.3	P	136.49	M1Iae-M2Ibe      	110697
241.5488143656	+18.3703571182	R     Her	 8.20	 	15.0	V	318.14	M6e              	
252.9746627566	+14.9418779393	S     Her	 6.40	 	13.8	V	307.28	M4,Se-M7.5,Se    	 82516
272.2758838366	+31.0211681415	T     Her	 6.80	 	13.7	V	164.98	M2.5e-M8e        	 88923
246.4477995435	+18.8924657685	U     Her	 6.40	 	13.4	V	406.10	M6.5e-M9.5e      	 80488
248.8013230597	+37.3452992256	W     Her	 7.60	 	14.4	V	280.03	M3e-M5e          	
260.4264817678	+22.9211209000	RS    Her	 7.00	 	13.0	V	219.70	M4e-M8:          	 84948
257.7001075140	+27.0664053843	RT    Her	 8.50	 	15.5	V	298.08	M4e              	
242.5604797075	+25.0706413676	RU    Her	 6.80	 	14.3	V	484.83	M6e-M9           	 79233
255.1356258869	+31.2230035146	RV    Her	 9.00	 	15.5	V	205.23	M2e              	
269.9398829391	+19.4478678021	RY    Her	 8.30	 	14.1	V	221.47	M4e-M6e          	
279.1958886272	+26.0492580637	RZ    Her	 9.00	 	15.5	V	329.05	M5e-M6e          	
248.2314318903	+06.8582530983	SS    Her	 8.50	 	13.5	V	107.36	M0e-M5e          	 81026
267.2571587442	+22.5396210868	SU    Her	10.50	 	13.0	P	333.80	M6e              	
276.5961403680	+25.0258468889	SV    Her	 9.10	 	15.1	V	238.99	M5e              	
255.3718890414	+22.4774217236	SY    Her	 8.40	 	14.0	P	116.91	M1e-M6e          	 83304
273.6675485164	+31.8188558726	TV    Her	 9.00	 	14.6	V	304.28	M4e              	
251.3920883352	+12.1365458412	UV    Her	 9.50	 	15.0	P	341.95	M6e-M6.5e        	
262.5956395856	+17.9140216042	UZ    Her	 9.60	<	12.5	P	263.74	M5e              	
270.0783151218	+23.5437016769	WY    Her	11.00	 	15.5	P	376.00	M5e-M7e          	
270.3770266409	+18.6779872456	WZ    Her	11.50	 	14.0	P	247.80	                 	
272.5150634515	+18.1070410581	XZ    Her	10.50	 	13.6	P	171.69	M0               	 89018
280.7218023340	+23.0289549874	AE    Her	10.50	 	15.0	P	248.99	M4e              	
253.4366301858	+48.9506508889	AI    Her	10.50	<	14.0	P	407.00	M6e              	
268.9562880770	+42.8399708299	AQ    Her	11.10	<	15.0	P	280.91	M7e              	
249.7160396048	+14.0662034485	AS    Her	 9.90	 	15.3	P	269.14	M2e              	 81506
257.3651193750	+18.6731659200	BG    Her	 9.60	<	12.5	P	347.74	M3e              	
266.9630078250	+26.6661535600	BK    Her	11.70	 	16.9	P	215.00	                 	
282.4276494807	+24.8615252557	BT    Her	14.00	<	16.5	P	297.00	                 	
266.2329083003	+21.4922532614	CF    Her	 9.00	<	13.0	V	306.20	M0               	
272.8929655821	+26.4103122003	CG    Her	13.30	<	16.0	P	180.30	                 	
271.3985680311	+22.4803967074	CZ    Her	12.00	 	18.5	P	322.50	                 	
271.6393959103	+20.2724980382	DF    Her	11.30	<	14.2	P	337.70	M6e              	
276.0664792571	+18.4130340104	DG    Her	11.10	<	13.5	P	293.00	M5e              	
243.0393699649	+10.6072039271	DN    Her	10.50	<	12.5	P	226.00	                 	
247.6469775175	+23.4416068761	DO    Her	10.80	 	16.4	P	216.28	                 	
277.1258967301	+19.8530244525	DR    Her	13.50	<	15.5	P	285.00	                 	
278.3937912900	+16.0996139800	DS    Her	11.00	<	15.5	P	263.43	                 	
278.6617129724	+22.1215846517	DT    Her	14.50	<	15.5	P	300.00	                 	
279.1589026950	+18.0100080300	DU    Her	15.00	<	15.5	P	270.00	                 	
269.1893861558	+25.8627155971	ER    Her	13.00	<	16.0	P	165.00	                 	
270.8960158453	+33.3936032894	EW    Her	12.70	 	17.5	P	228.00	                 	
272.5332423408	+31.3632197058	FI    Her	12.40	<	16.0	P	239.00	                 	
262.2324242834	+18.7162606286	FP    Her	12.70	<	13.7	P	318.40	M4               	
264.2747992209	+18.2180142754	FR    Her	12.00	<	13.5	P	134.23	M2               	
269.6874935595	+23.4227679236	FU    Her	11.20	<	14.6	V	212.40	                 	
271.1738358750	+23.3865119400	FX    Her	12.50	<	14.8	P	354.00	                 	
279.2552024400	+21.0105484800	GI    Her	13.50	<	15.5	P	325.00	                 	
247.3296054343	+34.2220190218	HT    Her	12.60	 	17.0	P	163.15	                 	
259.7152197381	+28.4105612085	KR    Her	12.40	<	15.5	P	135.90	                 	
262.7872352210	+32.4548931726	KT    Her	13.50	<	15.5	P	381.00	                 	
280.8090297000	+12.3927780100	KX    Her	13.20	<	17.0	P	495.00	M8e              	
281.7692858794	+12.3904030869	KZ    Her	12.20	<	17.0	P	295.70	M5IIIe           	
282.9438651902	+12.1675847317	LO    Her	11.60	<	17.0	P	471.00	M8III            	
263.0974608602	+26.2038712189	LU    Her	11.70	 	17.5	P	217.51	                 	
244.2898677300	+25.8552781800	NP    Her	12.20	<	15.5	P	448.00	C6,3e(N)         	
266.3305830951	+19.3630873993	NX    Her	13.20	 	17.1	P	293.60	                 	
275.7060004200	+19.9650731300	V0348 Her	13.00	<	15.0	P	217.00	                 	
 43.4698825206	-49.8896424320	R     Hor	 4.70	 	14.3	V	407.60	M5e-M8eII-III    	 13502
 36.3963089139	-59.5946011865	S     Hor	10.00	<	13.0	P	335.80	M7II:e           	
 45.2171670707	-50.6422004893	T     Hor	 7.20	 	13.7	V	217.60	M5IIe            	 14042
 58.1959491989	-45.8300860774	U     Hor	 7.80	<	15.1	P	348.40	M6IIIe           	
 38.9675420440	-62.5834636217	RS    Hor	 9.80	<	15.0	P	202.85	M3e              	
202.4282592025	-23.2813254406	R     Hya	 3.50	 	10.9	V	388.87	M6e-M9eS(Tc)     	 65835
133.3914468650	+03.0684736279	S     Hya	 7.20	 	13.3	V	256.63	M4e-M8.0e        	 43653
133.9160203108	-09.1414899158	T     Hya	 6.70	 	13.5	V	298.70	M3e-M9:e         	 43835
143.8761117028	-14.6912760012	X     Hya	 7.20	 	13.6	V	301.10	M7e-M8.5e        	 47066
146.2456991203	-24.0210154200	RR    Hya	 8.60	 	14.5	V	343.49	M3.0e-M8e        	
212.8933278789	-28.8854001129	RU    Hya	 7.20	 	14.3	V	331.50	M6e-M8.8e        	 69346
141.1690319435	-06.8330878460	RZ    Hya	 9.20	<	12.5	V	332.54	M4e-M5           	
195.8348438609	-29.1029707569	SW    Hya	 9.80	<	13.0	P	218.80	M2e              	
134.4841326489	-03.3405321607	WW    Hya	10.50	<	15.0	P	310.77	                 	
138.3587283900	-14.3878188400	WX    Hya	 9.50	<	12.5	V	235.78	M3e              	
156.8252783600	-25.5490087008	CZ    Hya	 9.70	<	15.5	P	442.00	Ce(Ne)           	
175.3194098006	-33.7092217668	DN    Hya	11.40	 	14.4	P	182.40	Me               	 57009
192.9822480827	-26.7897684406	EP    Hya	10.80	<	15.5	P	166.00	Me               	
190.0229486306	-26.6641728819	FI    Hya	10.20	 	17.4	P	324.10	M4e(S4,4e)       	
146.6127143541	-17.4866104931	FN    Hya	11.50	<	12.5	P	300.00	                 	
129.6131796602	-16.3353924246	FR    Hya	12.00	<	13.0	P	196.00	                 	
 17.5736746950	-76.8408160100	RS    Hyi	10.00	 	16.0	P	215.50	M3e              	
 23.3918908506	-75.2075128067	RY    Hyi	11.00	 	15.5	P	319.00	M5e              	
339.0015962705	-67.2877653867	R     Ind	 8.20	 	14.6	V	216.26	M2e-M4(II)e      	
314.0969772754	-54.3241306260	S     Ind	 7.90	 	17.0	P	399.95	M6e-M8eII-Ib:    	
322.6183217516	-53.9551864676	X     Ind	 9.00	<	13.0	P	225.85	M4e-M5IIe        	
325.9807163693	-52.7279969775	Y     Ind	 9.80	<	13.0	P	304.18	M6(II))e-M7e     	
329.7601903643	-69.2042056932	RW    Ind	 9.60	<	13.4	V	150.00	M0Ibe-M4(II:)e   	
315.9649400351	-49.4959834897	RZ    Ind	 8.40	<	14.0	V	255.00	Me               	
